
//====== Debe_ marcar_ diptongos_
Cuerdo	Feudal
Ruidoso	Cuento
Lourdes	Viudo
Afeitar	Muelas
Peinado	Cuadras
Cuerdas Pingüino

//====== Debe_ marcar_ hiatos_
Aletear Alinear
Cloaca Coerción
Rúe Vacío
Egoísta Freír
Paseíllo Antihigiénico
Zanahoria

//====== deberá# marcar# triptongos#
Abreviéis	Ciais	Huaico
Uruguay	Codiciéis	Hualieutica
Acariciéis	Contagiéis	Huaura
Acopiéis	Copiéis	Huauzontle
Actuáis	Crieis	Huay
Ahuautle	Cuaimas	Huayco
Aliviáis	Cuaunahuac	Huei
Amortiguáis	Cuautepec	Hueitlatoani
Anunciéis	Cuautitlán	Lieis
Apreciéis	Cuautla	Limpiáis
Apremiéis	Despreciéis	Limpiauñas
Arreciáis	Dioico	Luau
